SIM_ICCID,MCC_ID,MNC_ID,SIM_Number
1,1,1,0
899001190805082550,286,1,5392048908
899001190805082553,286,1,5392048916
899001190805082558,286,1,5392048926
899001190805082563,286,1,5392048950
899001193629016925,286,1,5324649727
899001193629016932,286,1,5324649581
899001193629016933,286,1,5324649551
899001193629016934,286,1,5324649548
899001193629016939,286,1,5324649426
899001193629016943,286,1,5324649370
899001193629016944,286,1,5324649353
899001193629016946,286,1,5324649340
899001193629016949,286,1,5324649262
899001190805082562,286,1,5392048943
899001193629016930,286,1,5324649636
899001193629016931,286,1,5324649592
899001193516033849,286,1,5319523800
899001193629016888,286,1,5324650767
899001193629016889,286,1,5324650745
899001193629016890,286,1,5324650716
899001193629016935,286,1,5324649531
899001193629016947,286,1,5324649306
899001190805082555,286,1,5392048923
899001190805082561,286,1,5392048941
899001193629016926,286,1,5324649704
899001193629016941,286,1,5324649396
899001193629016942,286,1,5324649376
899001193629016945,286,1,5324649352
899001193629016887,286,1,5324650777
899001190805082551,286,1,5392048911
899001190805082552,286,1,5392048915
899001190805082556,286,1,5392048924
899001190805082564,286,1,5392048960
899001190805082568,286,1,5392048994
899001190805082921,286,1,5392050079
899001190805082922,286,1,5392050081
899001193516033847,286,1,5319523780
899001193516033848,286,1,5319523782
899001193629016875,286,1,5324651080
899001193629016927,286,1,5324649691
899001193629016929,286,1,5324649649
899001193629016936,286,1,5324649518
899001193629016937,286,1,5324649512
899001193629016938,286,1,5324649446
899001193629016940,286,1,5324649413
899001193629016948,286,1,5324649268
899001193629016928,286,1,5324649689
899001193629016878,286,1,5324651021
899001193629016880,286,1,5324650994
899001193629016882,286,1,5324650920
899001193629016883,286,1,5324650866
899001190805082559,286,1,5392048928
899001190805082560,286,1,5392048938
899001190805082566,286,1,5392048971
899001193516033845,286,1,5319523756
899001190805082569,286,1,5392048995
899001193629016895,286,1,5324650463
899001193629016896,286,1,5324650459
899001190805082554,286,1,5392048922
899001190805082557,286,1,5392048925
899001190805082565,286,1,5392048964
899001193516033846,286,1,5319523770
899001193629016876,286,1,5324651079
899001190805082567,286,1,5392048979
899001193629016877,286,1,5324651072
899001193629016884,286,1,5324650855
899001193629016885,286,1,5324650838
899001193629016886,286,1,5324650795
899001193629016897,286,1,5324650415
899001193730031346,286,1,5399659084
899001193730031347,286,1,5399659098
899001193730031348,286,1,5399659119
899001193730031349,286,1,5399659159
899001190805082900,286,1,5392049952
899001190805082901,286,1,5392049958
899001190805082902,286,1,5392049960
899001190805082903,286,1,5392049961
899001190805082904,286,1,5392049964
899001190805082905,286,1,5392049965
899001190805082908,286,1,5392049975
899001190805082909,286,1,5392049983
899001190805082910,286,1,5392049984
899001190805082911,286,1,5392049987
899001190805082912,286,1,5392050037
899001190805082913,286,1,5392050039
899001190805082914,286,1,5392050045
899001190805082915,286,1,5392050056
899001190805082916,286,1,5392050069
899001190805082917,286,1,5392050070
899001190805082918,286,1,5392050074
899001190805082919,286,1,5392050076
899001190805882884,286,1,5392049811
899001193628004920,286,1,5302795669
899001193628004921,286,1,5302795679
899001193628004922,286,1,5302795762
899001193628004923,286,1,5302795265
899001193629016881,286,1,5324650984
899001193629016892,286,1,5324650575
899001193629016893,286,1,5324650547
899001193629016894,286,1,5324650467
899001193629016891,286,1,5324650598
899001190805082882,286,1,5392049785
899001190805082883,286,1,5392049795
899001190805082906,286,1,5392049967
899001190805082907,286,1,5392049970
899001190805082920,286,1,5392050077
899001190805082950,286,1,5392050177
899001190805082951,286,1,5392050181
899001190805082952,286,1,5392050186
899001190805082953,286,1,5392050188
899001190805082954,286,1,5392050189
899001190805082955,286,1,5392050195
899001190805082956,286,1,5392050196
899001190805082957,286,1,5392050197
899001190805082958,286,1,5392050198
899001190805082959,286,1,5392050199
899001190805082960,286,1,5392050219
899001190805082961,286,1,5392050229
899001190805082962,286,1,5392050236
899001190805082963,286,1,5392050243
899001190805082964,286,1,5392050258
899001190805082965,286,1,5392050262
899001190805082966,286,1,5392050265
899001190805082967,286,1,5392050268
899001190805082968,286,1,5392050271
899001190805082969,286,1,5392050275
899001190805082970,286,1,5392050280
899001190805082971,286,1,5392050281
899001190805082972,286,1,5392050289
899001190805082973,286,1,5392050297
899001190805082974,286,1,5392050310
899001193516033500,286,1,5319522540
899001193516033501,286,1,5319522543
899001193516033502,286,1,5319522544
899001193516033503,286,1,5319522545
899001193516033504,286,1,5319522554
899001193516033505,286,1,5319522559
899001193516033506,286,1,5319522560
899001193516033507,286,1,5319522564
899001193516033508,286,1,5319522567
899001193516033509,286,1,5319522569
899001193516033510,286,1,5319522574
899001193516033511,286,1,5319522575
899001193516033512,286,1,5319522576
899001193516033513,286,1,5319522582
899001193516033514,286,1,5319522585
899001193516033515,286,1,5319522587
899001193516033516,286,1,5319522593
899001193516033517,286,1,5319522595
899001193516033518,286,1,5319522597
899001193516033519,286,1,5319522598
899001193516033520,286,1,5319522601
899001193516033521,286,1,5319522602
899001193516033522,286,1,5319522603
899001193516033523,286,1,5319522605
899001193516033524,286,1,5319522606
899001193516033825,286,1,5319523608
899001193516033826,286,1,5319523626
899001193516033827,286,1,5319523627
899001193516033828,286,1,5319523628
899001193516033829,286,1,5319523631
899001193516033830,286,1,5319523637
899001193516033831,286,1,5319523645
899001193516033832,286,1,5319523648
899001193516033833,286,1,5319523649
899001193516033834,286,1,5319523652
899001193516033835,286,1,5319523654
899001193516033836,286,1,5319523660
899001193516033837,286,1,5319523668
899001193516033838,286,1,5319523679
899001193516033839,286,1,5319523695
899001193516033840,286,1,5319523696
899001193516033841,286,1,5319523711
899001193516033842,286,1,5319523729
899001193516033843,286,1,5319523730
899001193516033844,286,1,5319523752
899001193516033900,286,1,5319523455
899001193516033901,286,1,5319523700
899001193516033902,286,1,5319523407
899001193516033903,286,1,5319523410
899001193516033904,286,1,5319523794
899001193516033905,286,1,5319523413
899001193516033906,286,1,5319523425
899001193516033907,286,1,5319523492
899001193516033908,286,1,5319523755
899001193516033909,286,1,5319523426
899001193516033910,286,1,5319523658
899001193516033911,286,1,5319523429
899001193516033912,286,1,5319523436
899001193516033913,286,1,5319523439
899001193516033914,286,1,5319523441
899001193516033915,286,1,5319523451
899001193516033916,286,1,5319523655
899001193516033917,286,1,5319523457
899001193516033918,286,1,5319523643
