IMEI,Model_ID,Manufacturer_ID
0,0,0
356993685688398,208,21
356993685688299,208,21
356993685688430,208,21
356993685688232,208,21
356993685688257,208,21
356993685689081,208,21
356993685688265,208,21
356993685686244,208,21
356993685688240,208,21
356993685688927,208,21
356993685684900,208,21
356993685688067,208,21
356993685688323,208,21
356993685688083,208,21
356993685688125,208,21
356993685688364,208,21
356993685686202,208,21
356993685688315,208,21
356993685688117,208,21
356993685687994,208,21
356993685688166,208,21
356993685687960,208,21
356993685686251,208,21
356993685686392,208,21
356993685689107,208,21
356993685689180,208,21
356993685686293,208,21
356993685686301,208,21
356993685685469,208,21
356993685685543,208,21
356993685685485,208,21
356993685686343,208,21
356993685689115,208,21
356993685685519,208,21
356993685685782,208,21
356993685686228,208,21
356993685688976,208,21
356993685685600,208,21
356993685688190,208,21
356993685686376,208,21
356993685685899,208,21
356993685685535,208,21
356993685685816,208,21
356993685686285,208,21
356993685685493,208,21
356993685685576,208,21
356993685689131,208,21
356993685688653,208,21
356993685686335,208,21
356993685685824,208,21
356993685688349,208,21
356993685688034,208,21
356993685686319,208,21
356993685686368,208,21
356993685686152,208,21
356993685685451,208,21
356993685692630,208,21
356993685686426,208,21
356993685692069,208,21
356993685691038,208,21
356993685691897,208,21
356993685691889,208,21
356993685691830,208,21
356993685692093,208,21
356993685693786,208,21
356993685691855,208,21
356993685691863,208,21
356993685691848,208,21
356993685691954,208,21
356993685693604,208,21
356993685692085,208,21
356993685691053,208,21
356993685691871,208,21
356993685692044,208,21
356993685691046,208,21
356993685694362,208,21
356993685691913,208,21
356993685694339,208,21
356993685693794,208,21
356993685692077,208,21
356993685690824,208,21
356993685693133,208,21
356993685693828,208,21
356993685693422,208,21
356993685690782,208,21
356993685691939,208,21
356993685693042,208,21
356993685690584,208,21
356993685691079,208,21
356993685693125,208,21
356993685693174,208,21
356993685721090,208,21
356993685693414,208,21
356993685691921,208,21
356993685692648,208,21
356993685719086,208,21
356993685719052,208,21
356993685718435,208,21
356993685692986,208,21
356993685719151,208,21
356993685719037,208,21
356993685719078,208,21
356993685719102,208,21
356993685718328,208,21
356993685719060,208,21
356993685719110,208,21
356993685719003,208,21
356993685718633,208,21
356993685717700,208,21
356993685718096,208,21
356993685719029,208,21
356993685719128,208,21
356993685719136,208,21
356993685718591,208,21
356993685718427,208,21
356993685718724,208,21
356993685717858,208,21
356993685717817,208,21
356993685717759,208,21
356993685717833,208,21
356993685717866,208,21
356993685718732,208,21
356993685718542,208,21
356993685717726,208,21
356993685718419,208,21
356993685693901,208,21
356993685718534,208,21
356993685718526,208,21
356993685717791,208,21
356993685692697,208,21
354485417649543,207,21
354485417649832,207,21
354485417649501,207,21
354485417649709,207,21
354485417650194,207,21
354485417650897,207,21
354485417650889,207,21
354485417649493,207,21
354485417649444,207,21
354485417649675,207,21
354485417649758,207,21
354485417651812,207,21
354485417652091,207,21
354485417650996,207,21
354485417649170,207,21
354485417645301,207,21
354485417651747,207,21
354485417652109,207,21
354485417650624,207,21
354485417651663,207,21
354485417652141,207,21
354485417651754,207,21
354485417650608,207,21
354485417651721,207,21
354485417651911,207,21
354485417651788,207,21
354485417652620,207,21
354485417650731,207,21
354485417651770,207,21
354485417651978,207,21
354485417652521,207,21
354485417651713,207,21
354485417651010,207,21
354485417651697,207,21
354485417652075,207,21
354485417645319,207,21
354485417651671,207,21
354485417651945,207,21
354485417652125,207,21
354485417651002,207,21
354485417651986,207,21
354485417651804,207,21
354485417651952,207,21
354485417650772,207,21
354485417652083,207,21
354485417652133,207,21
354485417651929,207,21
354485417651465,207,21
354485417651499,207,21
354485417651028,207,21
354485417651762,207,21
354485417651473,207,21
354485417651432,207,21
354485417651580,207,21
354485417651796,207,21
354485417650756,207,21
354485417651481,207,21
354485417651515,207,21
354485417651705,207,21
354485417651655,207,21
354485417651523,207,21
354485417645582,207,21
354485417651614,207,21
354485417651622,207,21
354485417651556,207,21
354485417645335,207,21
354485417651598,207,21
354485417651630,207,21
354485417650962,207,21
354485417645152,207,21
354485417651564,207,21
354485417651606,207,21
354485417650715,207,21
354485417645145,207,21
354485417650749,207,21
354485417651507,207,21
354485417650764,207,21
354485417645343,207,21
354485417651440,207,21
354485417650954,207,21
354485417650988,207,21
354485417645178,207,21
358514680194428,204,21
358514680200027,204,21
358514680194667,204,21
358514680201082,204,21
358514680195169,204,21
356993685684926,208,21
354485417649238,207,21
354485417649584,207,21
354485417649451,207,21
354485417649261,207,21
354485417650913,207,21
